item_code,item_name,total_qty,trx_frequency,avg_qty_per_trx,std_qty,recency,label,class_id,Qty_Velocity,Trx_Velocity,Recency_Ratio,Qty_Velocity_zscore,Trx_Velocity_zscore,Avg_Qty_Per_Trx_zscore,Std_Qty_zscore,Recency_Ratio_zscore,pred_knn,pred_rf,pred_svm,pred_lr,pred_xgb,pred_consensus
103700319,CEFEPIME HYDROCHLORIDE POWDER INJECTION,5,4,1.25,0.5,847,Slow Moving,2,0.004570383912248629,0.003656307129798903,0.7742230347349177,-0.5516,-0.6274,-0.746,-0.7276,3.2288,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700323,METHYLERGOMETRINE MALEATE LIQUID INJECTION,8,4,2.0,2.0,170,Slow Moving,2,0.007312614259597806,0.003656307129798903,0.15539305301645337,-0.5501,-0.6274,-0.6363,-0.5199,0.2752,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700331,CEFADROXIL MONOHYDRATE 125 SIRUP KERING,1251,109,11.477064220183486,9.617303397248442,0,Fast Moving,0,1.1435100548446069,0.09963436928702012,0.0,0.1072,-0.1889,0.7501,0.535,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700333,CEFADROXIL MONOHYDRATE 250 SIRUP KERING,791,63,12.555555555555555,10.798413530098998,0,Fast Moving,0,0.7230347349177331,0.05758683729433273,0.0,-0.136,-0.381,0.9079,0.6986,-0.4664,Fast Moving,Fast Moving,Fast Moving,Medium Moving,Fast Moving,Fast Moving
103700334,CLOMIFENE CITRATE TABLET,10,6,1.6666666666666667,0.816496580927726,54,Slow Moving,2,0.009140767824497258,0.005484460694698354,0.04936014625228519,-0.549,-0.619,-0.685,-0.6838,-0.2308,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700336,ZINC SULFATE MONOHYDRATE DISPERSIBLE TABLET,542,148,3.6621621621621623,3.2754582253128253,0,Medium Moving,1,0.4954296160877514,0.13528336380255943,0.0,-0.2677,-0.026,-0.3931,-0.3433,-0.4664,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700337,PHYTOMENADIONE LIQUID INJECTION (VITAMIN K),43,16,2.6875,3.048906907948049,39,Slow Moving,2,0.03930530164533821,0.014625228519195612,0.0356489945155393,-0.5315,-0.5773,-0.5357,-0.3746,-0.2963,Slow Moving,Slow Moving,Medium Moving,Medium Moving,Slow Moving,Slow Moving
103700338,AMOXICILLIN TRIHYDRATE DROPS,25,2,12.5,10.606601717798213,383,Slow Moving,2,0.022851919561243144,0.0018281535648994515,0.350091407678245,-0.5411,-0.6358,0.8997,0.672,1.2045,Medium Moving,Slow Moving,Slow Moving,Medium Moving,Slow Moving,Slow Moving
103700340,INTUNAL FORTE TABLET (10 TAB),3340,631,5.293185419968304,4.139388939127898,2,Fast Moving,0,3.0530164533820843,0.576782449725777,0.0018281535648994515,1.2118,1.9911,-0.1545,-0.2236,-0.4577,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700345,CEFADROXIL MONOHYDRATE KAPSUL,1553,270,5.7518518518518515,5.324550026915227,0,Fast Moving,0,1.4195612431444242,0.24680073126142596,0.0,0.2669,0.4835,-0.0874,-0.0595,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
